cik,ticker,sic,sic_description
1755672,CTVA,0100,Agricultural Production-Crops
764065,CLF,1000,Metal Mining
831259,FCX,1000,Metal Mining
1798562,TMC,1000,Metal Mining
1164727,NEM,1040,Gold and Silver Ores
1064728,BTU,1221,Bituminous Coal & Lignite Surface Mining
1841666,APA,1311,Crude Petroleum & Natural Gas
1070412,CNX,1311,Crude Petroleum & Natural Gas
1090012,DVN,1311,Crude Petroleum & Natural Gas
821189,EOG,1311,Crude Petroleum & Natural Gas
887396,EP,1311,Crude Petroleum & Natural Gas
33213,EQT,1311,Crude Petroleum & Natural Gas
895126,EXE,1311,Crude Petroleum & Natural Gas
1539838,FANG,1311,Crude Petroleum & Natural Gas
717423,MUR,1311,Crude Petroleum & Natural Gas
797468,OXY,1311,Crude Petroleum & Natural Gas
315852,RRC,1311,Crude Petroleum & Natural Gas
46765,HP,1381,Drilling Oil & Gas Wells
1163739,NBR,1381,Drilling Oil & Gas Wells
1895262,NE,1381,Drilling Oil & Gas Wells
1451505,RIG,1381,Drilling Oil & Gas Wells
45012,HAL,1389,"Oil & Gas Field Services, NEC"
87347,SLB,1389,"Oil & Gas Field Services, NEC"
916076,MLM,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
1396009,VMC,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
920760,LEN,1520,General Bldg Contractors - Residential Bldgs
882184,DHI,1531,Operative Builders
795266,KBH,1531,Operative Builders
906163,NVR,1531,Operative Builders
822416,PHM,1531,Operative Builders
1124198,FLR,1600,Heavy Construction Other Than Bldg Const - Contractors
52988,J,1600,Heavy Construction Other Than Bldg Const - Contractors
105634,EME,1731,Electrical Work
1035983,FIX,1731,Electrical Work
1050915,PWR,1731,Electrical Work
23217,CAG,2000,Food and Kindred Products
16732,CPB,2000,Food and Kindred Products
1103982,MDLZ,2000,Food and Kindred Products
48465,HRL,2011,Meat Packing Plants
100493,TSN,2015,Poultry Slaughtering and Processing
1637459,KHC,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties"
1679273,LW,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties"
91419,SJM,2033,"Canned, Fruits, Veg, Preserves, Jams & Jellies"
40704,GIS,2040,Grain Mill Products
47111,HSY,2060,Sugar & Confectionery Products
7084,ADM,2070,Fats & Oils
1996862,BG,2070,Fats & Oils
14693,BF-B,2080,Beverages
1418135,KDP,2080,Beverages
21344,KO,2080,Beverages
77476,PEP,2080,Beverages
16918,STZ,2080,Beverages
24545,TAP,2082,Malt Beverages
865752,MNST,2086,Bottled & Canned Soft Drinks & Carbonated Waters
63754,MKC,2090,Miscellaneous Food Preparations & Kindred Products
764180,MO,2111,Cigarettes
1413329,PM,2111,Cigarettes
851968,MHK,2273,Carpets & Rugs
1397187,LULU,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl
1336917,UA,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl
1336917,UAA,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl
723254,CTAS,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
78239,PVH,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
1037038,RL,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments"
