issuer_cik,ticker,accession,filing_date,trans_date,owner_cik,role,shares,price,value
704051,LM,0001209191-10-000293,2010-01-04,2009-12-31,0000928265,director,525000.0,30.21,15860250.0
64803,CVS,0001127602-10-000959,2010-01-06,2010-01-04,0001318289,officer,45483.0,32.98,1500029.34
812074,OI,0000812074-10-000004,2010-01-06,2010-01-06,0001398493,director,387.0,34.33,13285.71
812074,OI,0000812074-10-000004,2010-01-06,2010-01-06,0001398493,director,2.0,34.58,69.16
812074,OI,0000812074-10-000002,2010-01-06,2010-01-06,0001196974,director,781.0,34.33,26811.73
812074,OI,0000812074-10-000002,2010-01-06,2010-01-06,0001196974,director,5.0,34.64,173.2
713676,PNC,0001209191-10-001752,2010-01-06,2010-01-04,0001196974,director,301.0,53.69,16160.69
33213,EQT,0001127602-10-001094,2010-01-07,2010-01-05,0001238369,director,475.0,43.92,20862.0
33213,EQT,0001127602-10-001093,2010-01-07,2010-01-05,0001439708,director,526.0,43.92,23101.92
33213,EQT,0001127602-10-001046,2010-01-07,2010-01-05,0001015826,director,475.0,43.92,20862.0
33213,EQT,0001127602-10-001045,2010-01-07,2010-01-05,0001199427,director,136.0,43.92,5973.12
48465,HRL,0001179110-10-000759,2010-01-07,2010-01-06,0001415994,officer,2245.86,38.27,85949.06
1047862,ED,0001047862-10-000020,2010-01-08,2009-12-31,0001232009,officer,16.57,45.02,745.98
1047862,ED,0001047862-10-000019,2010-01-08,2009-12-31,0001407610,officer,51.36,45.02,2312.23
1047862,ED,0001047862-10-000018,2010-01-08,2009-12-31,0001232649,director,23.45,45.02,1055.72
1047862,ED,0001047862-10-000017,2010-01-08,2009-12-31,0001232007,officer,0.34,45.02,15.31
1047862,ED,0001047862-10-000016,2010-01-08,2009-12-31,0001231192,director,0.02,45.02,0.9
1047862,ED,0001047862-10-000015,2010-01-08,2009-12-31,0001423302,officer,62.38,45.02,2808.35
1047862,ED,0001047862-10-000014,2010-01-08,2009-12-31,0001286156,officer,35.4,45.02,1593.71
1047862,ED,0001047862-10-000013,2010-01-08,2009-12-31,0001466373,officer,79.3,45.02,3570.09
1047862,ED,0001047862-10-000012,2010-01-08,2009-12-31,0001358393,officer,47.6,45.02,2142.95
1047862,ED,0001047862-10-000011,2010-01-08,2009-12-31,0001108889,director,14.11,45.02,635.23
1047862,ED,0001047862-10-000010,2010-01-08,2009-12-31,0001433231,officer,14.18,45.02,638.38
1047862,ED,0001047862-10-000009,2010-01-08,2009-12-31,0001463822,officer,39.85,45.02,1794.05
764478,BBY,0001225208-10-001531,2010-01-13,2010-01-12,0001381037,director,2000.0,39.2,78400.0
95521,SVU,0000095521-10-000002,2010-01-15,2010-01-15,0001463950,officer,25000.0,14.34,358500.0
11199,BMS,0001179110-10-001181,2010-01-19,2010-01-15,0001241337,director,3013.0,29.88,90028.44
11199,BMS,0001179110-10-001179,2010-01-19,2010-01-15,0001286873,director,1256.0,29.88,37529.28
11199,BMS,0001179110-10-001177,2010-01-19,2010-01-15,0001215470,director,2511.0,29.88,75028.68
11199,BMS,0001179110-10-001173,2010-01-19,2010-01-15,0001078978,director,2511.0,29.88,75028.68
887396,EP,0001373607-10-000001,2010-01-19,2010-01-14,0001373607,director,428571.0,0.07,29999.97
887396,EP,0001057983-10-000001,2010-01-19,2010-01-14,0001057983,officer,428571.0,0.07,29999.97
70858,BAC,0001225208-10-002129,2010-01-22,2010-01-21,0001183692,director,2000.0,15.64,31280.0
70858,BAC,0001225208-10-002129,2010-01-22,2010-01-21,0001183692,director,25000.0,15.56,389000.0
70858,BAC,0001225208-10-002129,2010-01-22,2010-01-21,0001183692,director,2000.0,15.57,31140.0
70858,BAC,0001225208-10-002129,2010-01-22,2010-01-21,0001183692,director,2000.0,15.6,31200.0
70858,BAC,0001225208-10-002129,2010-01-22,2010-01-21,0001183692,director,2000.0,15.53,31060.0
70858,BAC,0001225208-10-002129,2010-01-22,2010-01-21,0001183692,director,2000.0,15.55,31100.0
70858,BAC,0001225208-10-002128,2010-01-22,2010-01-22,0001179864,director,2000.0,15.21,30420.0
50863,INTC,0001127602-10-002087,2010-01-25,2010-01-22,0001188928,director,10000.0,20.29,202900.0
764478,BBY,0001225208-10-002276,2010-01-26,2010-01-25,0001171778,director,499.0,37.51,18717.49
49196,HBAN,0001225208-10-002256,2010-01-26,2010-01-26,0001235443,officer,5000.0,4.86,24300.0
49196,HBAN,0001225208-10-002255,2010-01-26,2010-01-26,0001220191,director,20000.0,4.87,97400.0
49196,HBAN,0001225208-10-002254,2010-01-26,2010-01-26,0001475174,officer,12500.0,4.83,60375.0
49196,HBAN,0001225208-10-002251,2010-01-26,2010-01-26,0001213991,officer,14800.0,4.87,72076.0
49196,HBAN,0001225208-10-002251,2010-01-26,2010-01-26,0001213991,officer,10200.0,4.88,49776.0
49196,HBAN,0001225208-10-002251,2010-01-26,2010-01-26,0001213991,officer,5000.0,4.89,24450.0
49196,HBAN,0001225208-10-002251,2010-01-26,2010-01-26,0001213991,officer,22000.0,4.89,107580.0
49196,HBAN,0001225208-10-002251,2010-01-26,2010-01-26,0001213991,officer,50000.0,4.86,243000.0
91576,KEY,0001232432-10-000021,2010-01-26,2010-01-26,0001185158,director,2500.0,7.1,17750.0
895421,MS,0001209191-10-004808,2010-01-26,2010-01-25,0001357222,director,100.0,27.83,2783.0
895421,MS,0001209191-10-004808,2010-01-26,2010-01-25,0001357222,director,1300.0,27.83,36179.0
895421,MS,0001209191-10-004808,2010-01-26,2010-01-25,0001357222,director,1600.0,27.84,44544.0
4962,AXP,0001127602-10-002294,2010-01-27,2010-01-25,0001209431,director,10000.0,38.0,380000.0
49196,HBAN,0001225208-10-002336,2010-01-27,2010-01-26,0001267320,director,20500.0,4.92,100860.0
793952,HOG,0001225208-10-002310,2010-01-27,2010-01-26,0001205048,officer,1000.0,23.59,23590.0
73124,NTRS,0000895813-10-000022,2010-01-27,2010-01-27,0001067838,director,10000.0,51.44,514400.0
49196,HBAN,0001225208-10-002452,2010-01-28,2010-01-28,0001468810,officer,5000.0,5.05,25250.0
79958,PCP,0000893877-10-000091,2010-01-28,2010-01-27,0001450131,officer,200.0,103.89,20778.0
1012100,SEE,0001127602-10-002423,2010-01-28,2010-01-28,0001199081,director,1000.0,19.78,19780.0
793952,HOG,0001225208-10-002548,2010-01-29,2010-01-27,0001269707,director,2000.0,23.22,46440.0
732712,VZ,0001233402-10-000026,2010-01-29,2010-01-28,0001385260,officer,100.0,29.25,2925.0
732712,VZ,0001233402-10-000026,2010-01-29,2010-01-28,0001385260,officer,100.0,29.25,2925.0
732712,VZ,0001233402-10-000026,2010-01-29,2010-01-28,0001385260,officer,12500.0,29.26,365750.0
732712,VZ,0001233402-10-000026,2010-01-29,2010-01-28,0001385260,officer,2300.0,29.26,67298.0
12927,BA,0001225208-10-002892,2010-02-01,2009-07-22,0001233152,director,800.0,42.46,33968.0
49196,HBAN,0001225208-10-002719,2010-02-01,2010-02-01,0001110858,director,5000.0,4.8,24000.0
49196,HBAN,0001225208-10-002719,2010-02-01,2010-02-01,0001110858,director,5000.0,4.85,24250.0
49196,HBAN,0001225208-10-002719,2010-02-01,2010-02-01,0001110858,director,15000.0,4.85,72750.0
58492,LEG,0001127602-10-002956,2010-02-01,2010-01-29,0001166175,officer,7000.0,18.26,127820.0
914208,IVZ,0001209191-10-006039,2010-02-02,2010-02-01,0001010267,officer,50.0,19.98,999.0
833444,JCI,0001225208-10-003048,2010-02-02,2010-02-02,0001191501,director,5000.0,35.7,178500.0
92380,LUV,0001027715-10-000002,2010-02-03,2010-02-02,0001027715,director,1250.0,11.52,14400.0
92380,LUV,0001027715-10-000002,2010-02-03,2010-02-02,0001027715,director,250.0,11.5,2875.0
8818,AVY,0000008818-10-000018,2010-02-04,2010-02-04,0001197579,officer,3000.0,32.9,98700.0
927628,COF,0001225208-10-003500,2010-02-04,2010-01-26,0001195086,director,2500.0,36.41,91025.0
49196,HBAN,0001225208-10-003481,2010-02-04,2010-02-03,0001139944,director,5000.0,4.69,23450.0
49196,HBAN,0001225208-10-003480,2010-02-04,2010-02-04,0001475174,officer,7500.0,4.54,34050.0
1089976,PTV,0001225208-10-003541,2010-02-04,2010-02-02,0001198548,officer,1371.0,0.0,0.0
1037038,RL,0001281803-10-000004,2010-02-04,2010-02-04,0001467638,director,1800.0,77.35,139230.0
1037038,RL,0001281803-10-000004,2010-02-04,2010-02-04,0001467638,director,200.0,77.34,15468.0
1047862,ED,0001047862-10-000033,2010-02-05,2010-01-31,0001433231,officer,2.33,45.39,105.76
1047862,ED,0001047862-10-000032,2010-02-05,2010-01-31,0001407610,officer,23.25,45.39,1055.32
1047862,ED,0001047862-10-000030,2010-02-05,2010-01-31,0001423302,officer,43.5,45.39,1974.46
1047862,ED,0001047862-10-000029,2010-02-05,2010-01-31,0001232649,director,23.25,45.39,1055.32
1047862,ED,0001047862-10-000027,2010-02-05,2010-01-31,0001463822,officer,37.2,45.39,1688.51
1047862,ED,0001047862-10-000026,2010-02-05,2010-01-31,0001358393,officer,46.5,45.39,2110.64
1047862,ED,0001047862-10-000025,2010-02-05,2010-01-31,0001466373,officer,41.85,45.39,1899.57
79879,PPG,0001209191-10-007244,2010-02-05,2010-02-05,0001202228,officer,250.0,58.01,14502.5
732712,VZ,0001233402-10-000032,2010-02-05,2010-02-03,0001195233,officer,2500.0,29.25,73125.0
732712,VZ,0001233402-10-000032,2010-02-05,2010-02-04,0001195233,officer,5000.0,28.79,143950.0
72903,XEL,0001357646-10-000001,2010-02-05,2010-02-04,0001205948,director,1000.0,20.41,20410.0
49196,HBAN,0001225208-10-003616,2010-02-08,2010-02-05,0001110858,director,5000.0,4.44,22200.0
49196,HBAN,0001225208-10-003616,2010-02-08,2010-02-05,0001110858,director,5000.0,4.42,22100.0
704051,LM,0000704051-10-000018,2010-02-08,2010-02-04,0001206673,officer,30000.0,25.12,753600.0
704051,LM,0000704051-10-000018,2010-02-08,2010-02-08,0001206673,officer,12600.0,24.65,310590.0
1111711,NI,0001127602-10-003803,2010-02-08,2010-02-04,0001016109,director,2000.0,14.87,29740.0
1012100,SEE,0001127602-10-003801,2010-02-08,2010-02-08,0001199081,director,1000.0,19.1,19100.0
33185,EFX,0001225208-10-003708,2010-02-09,2010-02-05,0001233984,officer,100.0,31.51,3151.0
33185,EFX,0001225208-10-003708,2010-02-09,2010-02-05,0001233984,officer,1300.0,31.52,40976.0
815556,FAST,0001179110-10-002320,2010-02-09,2010-02-05,0001256632,director,1500.0,42.37,63555.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,88.0,53.87,4740.56
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,1828.0,53.82,98382.96
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,2543.0,53.88,137016.84
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,100.0,53.57,5357.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,200.0,53.59,10718.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,200.0,53.6,10720.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,2400.0,53.62,128688.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,3021.0,53.62,161986.02
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,500.0,53.63,26815.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,100.0,53.64,5364.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,600.0,53.65,32190.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,100.0,53.66,5366.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,600.0,53.66,32196.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,100.0,53.67,5367.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,400.0,53.68,21472.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,120.0,53.8,6456.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,400.0,53.76,21504.0
37785,FMC,0001246360-10-000644,2010-02-09,2010-02-08,0001240940,officer,1400.0,53.75,75250.0
